,url,price,locali,superficie,bagni,piano
49,https://www.immobiliare.it/70412606-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,285.000,2 ,55,1 ,R
50,https://www.immobiliare.it/70411680-Vendita-Quadrilocale-via-Mario-Vinciguerra-Roma.html,350.000,4 ,160,2 ,T
51,https://www.immobiliare.it/70413218-Vendita-Bilocale-via-Francesco-Grimaldi-Roma.html,249.000,2 ,72,1 ,7
52,https://www.immobiliare.it/70412802-Vendita-Bilocale-via-Nomentana-Nuova-Roma.html,225.000,2 ,65,1 ,5
53,https://www.immobiliare.it/70411894-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,268.000,2 ,50,1 ,R
54,https://www.immobiliare.it/70412836-Vendita-Bilocale-via-dei-Piceni-Roma.html,130.000,2 ,40,1 ,T
55,https://www.immobiliare.it/70420546-Vendita-Trilocale-via-della-Casetta-Mattei-Roma.html,280.000,3 ,93,1 ,R
56,https://www.immobiliare.it/70418640-Vendita-Trilocale-via-suor-celestina-donati-83-Roma.html,379.000,3 ,97,2 ,T
57,https://www.immobiliare.it/70423828-Vendita-Quadrilocale-via-Capo-Palinuro-Roma.html,219.000,4 ,109,1 ,4
58,https://www.immobiliare.it/70422050-Vendita-Trilocale-via-Federico-Delpino-Roma.html,279.000,3 ,105,1 ,T
59,https://www.immobiliare.it/70420908-Vendita-Bilocale-via-Benigno-Crespi-Roma.html,99.000,2 ,89,1 ,3
60,https://www.immobiliare.it/70419130-Vendita-Attico-Mansarda-via-Ugo-Forti-Roma.html,99.000,1 ,40,1 ,A
61,https://www.immobiliare.it/70416236-Vendita-Appartamento-piazza-del-Fante-10-Roma.html,990.000,5 ,180,3 ,R
62,https://www.immobiliare.it/70417040-Vendita-Quadrilocale-via-Ugo-Forti-Roma.html,149.000,4 ,100,1 ,T
63,https://www.immobiliare.it/70422974-Vendita-Trilocale-via-dei-Castani-60-Roma.html,259.000,3 ,65,1 ,2
64,https://www.immobiliare.it/70415204-Vendita-Trilocale-piazza-Amba-Alagi-Roma.html,380.000,3 ,94,1 ,2
65,https://www.immobiliare.it/70416958-Vendita-Bilocale-via-Sulbiate-33-Roma.html,169.000,2 ,72,1 ,1
66,https://www.immobiliare.it/70406708-Vendita-Trilocale-piazza-Ischia-Roma.html,249.000,3 ,85,1 ,1
67,https://www.immobiliare.it/70419028-Vendita-Bilocale-via-Ammiraglio-Marzolo-Roma.html,145.000,2 ,67,1 ,R
68,https://www.immobiliare.it/70416956-Vendita-Trilocale-via-Filippo-Antonio-Gualterio-Roma.html,270.000,3 ,90,1 ,1
69,https://www.immobiliare.it/70412172-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,315.000,2 ,60,1 ,R
70,https://www.immobiliare.it/70412974-Vendita-Quadrilocale-viale-del-Lido-Roma.html,290.000,4 ,80,2 ,1
71,https://www.immobiliare.it/70412606-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,285.000,2 ,55,1 ,R
72,https://www.immobiliare.it/70411680-Vendita-Quadrilocale-via-Mario-Vinciguerra-Roma.html,350.000,4 ,160,2 ,T
73,https://www.immobiliare.it/70413218-Vendita-Bilocale-via-Francesco-Grimaldi-Roma.html,249.000,2 ,72,1 ,7
74,https://www.immobiliare.it/70412802-Vendita-Bilocale-via-Nomentana-Nuova-Roma.html,225.000,2 ,65,1 ,5
75,https://www.immobiliare.it/70411894-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,268.000,2 ,50,1 ,R
76,https://www.immobiliare.it/70412836-Vendita-Bilocale-via-dei-Piceni-Roma.html,130.000,2 ,40,1 ,T
77,https://www.immobiliare.it/70420546-Vendita-Trilocale-via-della-Casetta-Mattei-Roma.html,280.000,3 ,93,1 ,R
78,https://www.immobiliare.it/70418640-Vendita-Trilocale-via-suor-celestina-donati-83-Roma.html,379.000,3 ,97,2 ,T
79,https://www.immobiliare.it/70423828-Vendita-Quadrilocale-via-Capo-Palinuro-Roma.html,219.000,4 ,109,1 ,4
80,https://www.immobiliare.it/70422050-Vendita-Trilocale-via-Federico-Delpino-Roma.html,279.000,3 ,105,1 ,T
81,https://www.immobiliare.it/70420908-Vendita-Bilocale-via-Benigno-Crespi-Roma.html,99.000,2 ,89,1 ,3
82,https://www.immobiliare.it/70419130-Vendita-Attico-Mansarda-via-Ugo-Forti-Roma.html,99.000,1 ,40,1 ,A
83,https://www.immobiliare.it/70416236-Vendita-Appartamento-piazza-del-Fante-10-Roma.html,990.000,5 ,180,3 ,R
84,https://www.immobiliare.it/70417040-Vendita-Quadrilocale-via-Ugo-Forti-Roma.html,149.000,4 ,100,1 ,T
85,https://www.immobiliare.it/70422974-Vendita-Trilocale-via-dei-Castani-60-Roma.html,259.000,3 ,65,1 ,2
86,https://www.immobiliare.it/70415204-Vendita-Trilocale-piazza-Amba-Alagi-Roma.html,380.000,3 ,94,1 ,2
87,https://www.immobiliare.it/70416958-Vendita-Bilocale-via-Sulbiate-33-Roma.html,169.000,2 ,72,1 ,1
88,https://www.immobiliare.it/70406708-Vendita-Trilocale-piazza-Ischia-Roma.html,249.000,3 ,85,1 ,1
89,https://www.immobiliare.it/70419028-Vendita-Bilocale-via-Ammiraglio-Marzolo-Roma.html,145.000,2 ,67,1 ,R
90,https://www.immobiliare.it/70416956-Vendita-Trilocale-via-Filippo-Antonio-Gualterio-Roma.html,270.000,3 ,90,1 ,1
91,https://www.immobiliare.it/70412172-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,315.000,2 ,60,1 ,R
92,https://www.immobiliare.it/70412974-Vendita-Quadrilocale-viale-del-Lido-Roma.html,290.000,4 ,80,2 ,1
93,https://www.immobiliare.it/70412606-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,285.000,2 ,55,1 ,R
94,https://www.immobiliare.it/70411680-Vendita-Quadrilocale-via-Mario-Vinciguerra-Roma.html,350.000,4 ,160,2 ,T
95,https://www.immobiliare.it/70413218-Vendita-Bilocale-via-Francesco-Grimaldi-Roma.html,249.000,2 ,72,1 ,7
96,https://www.immobiliare.it/70412802-Vendita-Bilocale-via-Nomentana-Nuova-Roma.html,225.000,2 ,65,1 ,5
97,https://www.immobiliare.it/70411894-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,268.000,2 ,50,1 ,R
98,https://www.immobiliare.it/70412836-Vendita-Bilocale-via-dei-Piceni-Roma.html,130.000,2 ,40,1 ,T
99,https://www.immobiliare.it/70420546-Vendita-Trilocale-via-della-Casetta-Mattei-Roma.html,280.000,3 ,93,1 ,R
100,https://www.immobiliare.it/70418640-Vendita-Trilocale-via-suor-celestina-donati-83-Roma.html,379.000,3 ,97,2 ,T
101,https://www.immobiliare.it/70423828-Vendita-Quadrilocale-via-Capo-Palinuro-Roma.html,219.000,4 ,109,1 ,4
102,https://www.immobiliare.it/70422050-Vendita-Trilocale-via-Federico-Delpino-Roma.html,279.000,3 ,105,1 ,T
103,https://www.immobiliare.it/70420908-Vendita-Bilocale-via-Benigno-Crespi-Roma.html,99.000,2 ,89,1 ,3
104,https://www.immobiliare.it/70419130-Vendita-Attico-Mansarda-via-Ugo-Forti-Roma.html,99.000,1 ,40,1 ,A
105,https://www.immobiliare.it/70416236-Vendita-Appartamento-piazza-del-Fante-10-Roma.html,990.000,5 ,180,3 ,R
106,https://www.immobiliare.it/70417040-Vendita-Quadrilocale-via-Ugo-Forti-Roma.html,149.000,4 ,100,1 ,T
107,https://www.immobiliare.it/70422974-Vendita-Trilocale-via-dei-Castani-60-Roma.html,259.000,3 ,65,1 ,2
108,https://www.immobiliare.it/70415204-Vendita-Trilocale-piazza-Amba-Alagi-Roma.html,380.000,3 ,94,1 ,2
109,https://www.immobiliare.it/70416958-Vendita-Bilocale-via-Sulbiate-33-Roma.html,169.000,2 ,72,1 ,1
110,https://www.immobiliare.it/70406708-Vendita-Trilocale-piazza-Ischia-Roma.html,249.000,3 ,85,1 ,1
111,https://www.immobiliare.it/70419028-Vendita-Bilocale-via-Ammiraglio-Marzolo-Roma.html,145.000,2 ,67,1 ,R
112,https://www.immobiliare.it/70416956-Vendita-Trilocale-via-Filippo-Antonio-Gualterio-Roma.html,270.000,3 ,90,1 ,1
113,https://www.immobiliare.it/70412172-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,315.000,2 ,60,1 ,R
114,https://www.immobiliare.it/70412974-Vendita-Quadrilocale-viale-del-Lido-Roma.html,290.000,4 ,80,2 ,1
115,https://www.immobiliare.it/70412606-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,285.000,2 ,55,1 ,R
116,https://www.immobiliare.it/70411680-Vendita-Quadrilocale-via-Mario-Vinciguerra-Roma.html,350.000,4 ,160,2 ,T
117,https://www.immobiliare.it/70413218-Vendita-Bilocale-via-Francesco-Grimaldi-Roma.html,249.000,2 ,72,1 ,7
118,https://www.immobiliare.it/70412802-Vendita-Bilocale-via-Nomentana-Nuova-Roma.html,225.000,2 ,65,1 ,5
119,https://www.immobiliare.it/70411894-Vendita-Bilocale-via-Guglielmo-Calderini-Roma.html,268.000,2 ,50,1 ,R
120,https://www.immobiliare.it/70412836-Vendita-Bilocale-via-dei-Piceni-Roma.html,130.000,2 ,40,1 ,T
121,https://www.immobiliare.it/70420546-Vendita-Trilocale-via-della-Casetta-Mattei-Roma.html,280.000,3 ,93,1 ,R
122,https://www.immobiliare.it/70418640-Vendita-Trilocale-via-suor-celestina-donati-83-Roma.html,379.000,3 ,97,2 ,T
123,https://www.immobiliare.it/70423828-Vendita-Quadrilocale-via-Capo-Palinuro-Roma.html,219.000,4 ,109,1 ,4
124,https://www.immobiliare.it/70422050-Vendita-Trilocale-via-Federico-Delpino-Roma.html,279.000,3 ,105,1 ,T
125,https://www.immobiliare.it/70420908-Vendita-Bilocale-via-Benigno-Crespi-Roma.html,99.000,2 ,89,1 ,3
126,https://www.immobiliare.it/70419130-Vendita-Attico-Mansarda-via-Ugo-Forti-Roma.html,99.000,1 ,40,1 ,A
127,https://www.immobiliare.it/70416236-Vendita-Appartamento-piazza-del-Fante-10-Roma.html,990.000,5 ,180,3 ,R
128,https://www.immobiliare.it/70417040-Vendita-Quadrilocale-via-Ugo-Forti-Roma.html,149.000,4 ,100,1 ,T
129,https://www.immobiliare.it/70422974-Vendita-Trilocale-via-dei-Castani-60-Roma.html,259.000,3 ,65,1 ,2
130,https://www.immobiliare.it/70415204-Vendita-Trilocale-piazza-Amba-Alagi-Roma.html,380.000,3 ,94,1 ,2
