,url,price,locali,superficie,bagni,piano
1,https://www.immobiliare.it/53131931-Vendita-Bilocale-viale-Italo-Calvino-Roma.html,225.000,2 ,50,1 ,1
2,https://www.immobiliare.it/70479086-Vendita-Trilocale-via-Ignazio-Scimonelli-130-Roma.html,189.000,3 ,79,1 ,1
3,https://www.immobiliare.it/68601391-Vendita-Attico-Mansarda-via-Nicolo-Piccolomini-Roma.html,1.650.000,5+ ,220,3 ,4
4,https://www.immobiliare.it/67242549-Vendita-Appartamento-via-Luigi-Ungarelli-Roma.html,1.050.000,5+ ,290,2 ,R
5,https://www.immobiliare.it/65564714-Vendita-Appartamento-via-Delle-Isole-Roma.html,1.250.000,5 ,185,3 ,T
6,https://www.immobiliare.it/70147844-Vendita-Trilocale-via-Mortara-5-Roma.html,349.000,3 ,100,1 ,2
7,https://www.immobiliare.it/69489650-Vendita-Quadrilocale-via-Alessandro-Fleming-Roma.html,1.350.000,4 ,200,2 ,2
8,https://www.immobiliare.it/65915711-Vendita-Appartamento-via-del-Giuba-Roma.html,1.700.000,5+ ,460,3+ ,T
9,https://www.immobiliare.it/66712707-Vendita-Quadrilocale-Circonvallazione-Tuscolana-140-Roma.html,690.000,4 ,127,2 ,1
10,https://www.immobiliare.it/69206492-Vendita-Trilocale-via-Pietro-Rovetti-166-Roma.html,165.000,3 ,60,1 ,A
11,https://www.immobiliare.it/66813545-Vendita-Appartamento-via-di-San-Bartolomeo-de-Roma.html,1.100.000,5+ ,154,1 ,3
12,https://www.immobiliare.it/68683483-Vendita-Appartamento-viale-dell-Aeronautica-Roma.html,1.100.000,5+ ,250,3+ ,1
13,https://www.immobiliare.it/68153189-Vendita-Appartamento-piazza-Camillo-Benso-di-Cavour-Roma.html,549.000,5 ,85,2 ,2
14,https://www.immobiliare.it/66650211-Vendita-Appartamento-via-dei-Colli-della-Roma.html,1.070.000,5+ ,230,3+ ,1
15,https://www.immobiliare.it/69292298-Vendita-Appartamento-via-della-Farnesina-323-Roma.html,1.800.000,5+ ,250,3+ ,3
16,https://www.immobiliare.it/69566282-Vendita-Attico-Mansarda-via-Bevagna-Roma.html,800.000,3 ,125,2 ,5
17,https://www.immobiliare.it/69489816-Vendita-Appartamento-via-degli-Spagnoli-Roma.html,795.000,5 ,115,1 ,2
18,https://www.immobiliare.it/69192522-Vendita-Quadrilocale-via-Aosta-45-Roma.html,450.000,4 ,134,1 ,A
19,https://www.immobiliare.it/69041486-Vendita-Appartamento-via-Massimi-Roma.html,1.570.000,5+ ,260,3+ ,R
20,https://www.immobiliare.it/67706335-immobili_commerciali-ufficio-in-vendita-Roma.html,1.220.000,5+ ,245,2 ,T
21,https://www.immobiliare.it/69377992-Vendita-Quadrilocale-via-Mattia-Battistini-Roma.html,449.000,4 ,120,2 ,4
22,https://www.immobiliare.it/67738567-Vendita-Attico-Mansarda-via-degli-Armenti-70-Roma.html,189.000,4 ,110,2 ,A
23,https://www.immobiliare.it/70266408-Vendita-Appartamento-via-Dei-Monti-Parioli-Roma.html,930.000,5+ ,150,2 ,3
24,https://www.immobiliare.it/69778886-Vendita-Trilocale-via-Trionfale-6870-Roma.html,239.000,3 ,87,1 ,S
25,https://www.immobiliare.it/69583480-Vendita-Bilocale-via-di-Vermicino-139-Roma.html,119.000,2 ,65,1 ,1
26,https://www.immobiliare.it/68373749-Vendita-Appartamento-via-dei-Gandolfi-Roma.html,800.000,5+ ,220,3 ,4
27,https://www.immobiliare.it/70494490-Vendita-Attico-Mansarda-via-Gioia-Tauro-Roma.html,89.000,3 ,50,1 ,A
28,https://www.immobiliare.it/69826494-Vendita-Appartamento-viale-dell-Oceano-Atlantico-Roma.html,579.000,5 ,160,2 ,2
29,https://www.immobiliare.it/68632829-Vendita-Trilocale-via-Foligno-14-Roma.html,385.000,3 ,100,3 ,2
30,https://www.immobiliare.it/70343364-Vendita-Trilocale-viale-della-Venezia-Giulia-50-Roma.html,279.000,3 ,120,1 ,5
31,https://www.immobiliare.it/70114842-Vendita-Attico-Mansarda-via-Degli-Orti-Di-Galba-Roma.html,850.000,5 ,175,2 ,A
32,https://www.immobiliare.it/69668334-Vendita-Quadrilocale-via-di-montemignaio-Roma.html,650.000,4 ,130,2 ,1
33,https://www.immobiliare.it/69592474-Vendita-Appartamento-via-Della-Farnesina-Roma.html,1.600.000,5+ ,340,3+ ,2
34,https://www.immobiliare.it/69686894-Vendita-Bilocale-via-Gaetano-Fuggetta-Roma.html,139.000€,2 ,60,1 ,T
35,https://www.immobiliare.it/68926129-Vendita-Appartamento-via-Edoardo-Jenner-163-Roma.html,695.000,5+ ,250,3 ,3
36,https://www.immobiliare.it/69518256-Vendita-Trilocale-via-Angelo-Emo-25-Roma.html,320.000,3 ,76,1 ,3
37,https://www.immobiliare.it/67715597-Vendita-Appartamento-via-Alberto-Caroncini-Roma.html,850.000,5+ ,183,2 ,2
38,https://www.immobiliare.it/70177030-Vendita-Appartamento-via-Salvatore-Quasimodo-113-Roma.html,450.000,5 ,150,2 ,3
39,https://www.immobiliare.it/67414483-Vendita-Appartamento-via-Di-Villa-Ada-Roma.html,1.650.000€,5+ ,340,3 ,4
40,https://www.immobiliare.it/68842493-Vendita-Appartamento-via-Nomentana-Roma.html,1.300.000,5 ,170,3 ,2
41,https://www.immobiliare.it/67760729-Vendita-Attico-Mansarda-via-di-Rebibbia-55-Roma.html,220.000,3 ,116,1 ,1
42,https://www.immobiliare.it/67281105-Vendita-Appartamento-via-di-San-Vito-Roma.html,850.000,5+ ,204,2 ,3
43,https://www.immobiliare.it/70105452-Vendita-Quadrilocale-via-Virgilio-Melandri-30-Roma.html,255.000,4 ,130,2 ,1
44,https://www.immobiliare.it/69659060-Vendita-Appartamento-via-Germanico-24-Roma.html,1.150.000,5 ,160,2 ,4
45,https://www.immobiliare.it/68404119-Vendita-Trilocale-largo-Ecuador-Roma.html,730.000,3 ,160,2 ,S
46,https://www.immobiliare.it/61733354-Vendita-Appartamento-via-Dandolo-Roma.html,2.500.000,5+ ,300,3 ,2
47,https://www.immobiliare.it/69848852-Vendita-Bilocale-piazza-di-San-Cosimato-73-Roma.html,289.000,2 ,65,1 ,5
48,https://www.immobiliare.it/69391514-Vendita-Trilocale-via-Vallombrosa-Roma.html,549.000,3 ,109,2 ,1
49,https://www.immobiliare.it/68085925-Vendita-Trilocale-via-Zaccanopoli-Roma.html,269.000,3 ,87,2 ,2
50,https://www.immobiliare.it/67854699-Vendita-Attico-Mansarda-viale-delle-Medaglie-d-Oro-280-Roma.html,238.000,2 ,40,1 ,7
51,https://www.immobiliare.it/61128410-Vendita-Attico-Mansarda-via-Ignazio-Scimonelli-130-Roma.html,269.000,4 ,131,2 ,A
52,https://www.immobiliare.it/64540628-Vendita-Quadrilocale-viale-Angelico-Roma.html,539.000,4 ,140,2 ,3
53,https://www.immobiliare.it/70043828-Vendita-Appartamento-via-del-Calice-Roma.html,650.000,5+ ,193,3 ,4
54,https://www.immobiliare.it/69936424-Vendita-Attico-Mansarda-piazzale-Clodio-12-Roma.html,1.300.000,4 ,115,2 ,9
55,https://www.immobiliare.it/68019417-Vendita-Appartamento-via-di-Monte-Giordano-Roma.html,1.050.000,5 ,145,2 ,1
56,https://www.immobiliare.it/70336510-Vendita-Trilocale-viale-Libia-Roma.html,375.000,3 ,92,1 ,1
57,https://www.immobiliare.it/64625120-Vendita-Trilocale-piazza-San-Giovanni-in-Roma.html,339.000,3 ,90,1 ,4
